old_class_value,class_name,new_class_value
1,Corn,1
2,Cotton,2
3,Rice,3
4,Sorghum,4
5,Soybeans,5
6,Sunflower,6
7,Peanuts,7
8,Sweet Corn,8
9,Barley,9
10,Durum Wheat,10
11,Spring Wheat,11
12,Winter Wheat,12
13,Rye,13
14,Oats,14
15,Millet,15
16,Alfalfa,16
17,Sugarcane,17
18,Almonds,18
