chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_008_111,1450830.0,1395990.0,17.52,82.48,14.02,85.98,16.77,83.23,12.55,87.45,19.99,80.01,19.53,80.47,19.34,80.66,20.39,79.61,15.52,84.48,14.23,85.77,16.986
chip_008_112,1457550.0,1395990.0,15.91,84.09,14.55,85.45,16.16,83.84,11.09,88.91,18.92,81.08,16.55,83.45,15.45,84.55,18.25,81.75,16.81,83.19,12.02,87.98,15.571000000000002
chip_008_115,1477710.0,1395990.0,14.88,85.12,11.59,88.41,14.83,85.17,0.0,0.0,18.32,81.68,16.27,83.73,12.42,87.58,12.83,87.17,9.65,90.35,0.0,0.0,11.079
chip_008_116,1484430.0,1395990.0,10.52,89.48,13.31,86.69,13.26,86.74,0.0,0.0,15.04,84.96,13.39,86.61,15.04,84.96,0.0,0.0,0.0,0.0,0.0,0.0,8.056000000000001
chip_008_117,1491150.0,1395990.0,0.0,0.0,9.67,90.33,0.0,0.0,0.0,0.0,10.86,89.14,12.41,87.59,11.31,88.69,10.28,89.72,10.1,89.9,0.0,0.0,6.462999999999999
chip_008_118,1497870.0,1395990.0,31.68,68.32,28.3,71.7,29.94,70.06,20.05,79.95,30.53,69.47,31.02,68.98,30.62,69.38,28.88,71.12,20.5,79.5,14.47,85.53,26.599
chip_008_119,1504590.0,1395990.0,20.75,79.25,22.1,77.9,21.4,78.6,16.5,83.5,22.17,77.83,24.95,75.05,17.59,82.41,20.45,79.55,18.85,81.15,9.9,90.1,19.466
chip_008_120,1511310.0,1395990.0,13.5,86.5,12.95,87.05,14.09,85.91,10.5,89.5,13.2,86.8,15.97,84.03,11.73,88.27,10.02,89.98,8.97,91.03,9.27,90.73,12.02
chip_009_107,1423950.0,1389270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,92.82,0.718
chip_009_110,1444110.0,1389270.0,12.28,87.72,9.98,90.02,9.75,90.25,0.0,0.0,11.92,88.08,13.3,86.7,15.4,84.6,15.16,84.84,12.16,87.84,7.97,92.03,10.792
chip_009_111,1450830.0,1389270.0,22.72,77.28,19.89,80.11,20.64,79.36,12.34,87.66,23.22,76.78,23.51,76.49,24.61,75.39,25.6,74.4,19.43,80.57,16.82,83.18,20.878
chip_009_112,1457550.0,1389270.0,25.19,74.81,19.76,80.24,23.63,76.37,11.94,88.06,24.78,75.22,19.8,80.2,28.81,71.19,24.17,75.83,17.85,82.15,14.0,86.0,20.993
chip_009_113,1464270.0,1389270.0,15.8,84.2,15.19,84.81,15.87,84.13,10.97,89.03,14.58,85.42,19.22,80.78,24.18,75.82,18.39,81.61,18.7,81.3,13.97,86.03,16.686999999999998
chip_009_117,1491150.0,1389270.0,26.33,73.67,28.24,71.76,24.42,75.58,21.65,78.35,28.87,71.13,29.48,70.52,23.41,76.59,22.6,77.4,23.37,76.63,22.7,77.3,25.106999999999996
chip_009_118,1497870.0,1389270.0,19.06,80.94,22.0,78.0,22.59,77.41,14.2,85.8,25.48,74.52,25.33,74.67,20.79,79.21,21.01,78.99,12.83,87.17,12.07,87.93,19.536
chip_009_119,1504590.0,1389270.0,24.63,75.37,23.45,76.55,26.08,73.92,22.28,77.72,28.97,71.03,29.22,70.78,25.5,74.5,27.74,72.26,18.39,81.61,18.78,81.22,24.503999999999998
chip_009_120,1511310.0,1389270.0,20.85,79.15,21.27,78.73,20.74,79.26,17.9,82.1,21.98,78.02,23.12,76.88,16.62,83.38,17.43,82.57,15.48,84.52,11.43,88.57,18.682
chip_009_121,1518030.0,1389270.0,21.52,78.48,23.77,76.23,24.29,75.71,18.93,81.07,22.66,77.34,25.99,74.01,21.89,78.11,22.11,77.89,15.75,84.25,16.77,83.23,21.368000000000002
chip_009_122,1524750.0,1389270.0,20.26,79.74,22.96,77.04,22.71,77.29,21.01,78.99,23.13,76.87,25.52,74.48,21.75,78.25,21.26,78.74,18.34,81.66,16.03,83.97,21.297
chip_010_045,1007310.0,1382550.0,12.67,87.33,11.17,88.83,12.67,87.33,12.96,87.04,11.27,88.73,12.82,87.18,0.0,0.0,12.83,87.17,11.82,88.18,7.63,92.37,10.584
chip_010_108,1430670.0,1382550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81,91.19,0.0,0.0,0.0,0.0,0.0,0.0,0.881
chip_010_110,1444110.0,1382550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,91.29,0.0,0.0,0.0,0.0,0.0,0.0,0.8710000000000001
chip_010_111,1450830.0,1382550.0,27.17,72.83,27.67,72.33,29.64,70.36,16.05,83.95,29.15,70.85,36.0,64.0,33.24,66.76,28.93,71.07,32.85,67.15,22.39,77.61,28.309000000000005
chip_010_112,1457550.0,1382550.0,21.63,78.37,21.35,78.65,21.33,78.67,11.3,88.7,19.83,80.17,22.48,77.52,26.89,73.11,23.53,76.47,23.17,76.83,17.38,82.62,20.889
chip_010_113,1464270.0,1382550.0,12.82,87.18,14.81,85.19,17.35,82.65,0.0,0.0,18.22,81.78,18.1,81.9,19.44,80.56,15.84,84.16,15.02,84.98,10.89,89.11,14.249
chip_010_114,1470990.0,1382550.0,17.66,82.34,19.89,80.11,21.15,78.85,12.17,87.83,21.25,78.75,22.77,77.23,22.71,77.29,20.98,79.02,20.89,79.11,14.4,85.6,19.386999999999997
chip_010_118,1497870.0,1382550.0,15.6,84.4,13.86,86.14,16.36,83.64,10.51,89.49,17.87,82.13,22.06,77.94,17.15,82.85,13.89,86.11,12.31,87.69,11.83,88.17,15.144
chip_010_119,1504590.0,1382550.0,22.85,77.15,24.59,75.41,26.11,73.89,15.7,84.3,25.52,74.48,29.39,70.61,21.04,78.96,17.72,82.28,12.54,87.46,12.43,87.57,20.788999999999998
chip_010_120,1511310.0,1382550.0,27.23,72.77,28.03,71.97,27.11,72.89,24.99,75.01,32.11,67.89,32.69,67.31,32.32,67.68,29.25,70.75,24.72,75.28,19.27,80.73,27.772
chip_010_121,1518030.0,1382550.0,37.06,62.94,35.73,64.27,34.72,65.28,23.91,76.09,30.63,69.37,32.88,67.12,30.21,69.79,27.15,72.85,23.6,76.4,16.35,83.65,29.224
chip_010_122,1524750.0,1382550.0,11.82,88.18,16.92,83.08,17.53,82.47,14.79,85.21,15.29,84.71,15.22,84.78,15.8,84.2,12.71,87.29,13.85,86.15,8.13,91.87,14.205999999999998
chip_011_045,1007310.0,1375830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,93.37,0.663
